field15,field16,Total_Sales
Category,Sub-Category,0.0
Furniture,Chairs,328449.1
Furniture,Tables,206965.53
Furniture,Bookcases,114880.0
Furniture,Furnishings,91705.16
Office Supplies,Storage,223843.61
Office Supplies,Binders,203412.73
Office Supplies,Appliances,107532.16
Office Supplies,Paper,78479.21
Office Supplies,Supplies,46673.54
Office Supplies,Art,27118.79
Office Supplies,Envelopes,16476.4
Office Supplies,Labels,12486.31
Office Supplies,Fasteners,3024.28
Technology,Phones,330007.05
Technology,Machines,189238.63
Technology,Accessories,167380.32
Technology,Copiers,149528.03
